"join_ID","group","mlpa_region","region4","affiliated_mpa","mpa_defacto_class","mpa_defacto_designation","year","variable","indicator","mean","sd","n"
"kelp","kelp forest-fish","central","central","point buchon smr","smr","ref",2018,"all fish","diversity",1.5982,0.1218,4
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","ref",2016,"all fish","diversity",1.184211,0.121932,12
"kelp","kelp forest-fish","central","central","carmel bay smca","smca","smca",2000,"all fish","diversity",2.0216,0.1228,2
"ccfrp","ccfrp","central","central","point lobos smr","smr","smr",2007,"all fish","diversity",1.392691,0.122873,12
"kelp","kelp forest-fish","central","central","point sur smr","smr","smr",2009,"all fish","diversity",1.737,0.1231,2
"ccfrp","ccfrp","central","central","point lobos smr","smr","ref",2020,"all fish","diversity",1.239602,0.123283,12
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2016,"all fish","diversity",1.3252,0.1233,3
"ccfrp","ccfrp","central","central","point lobos smr","smr","smr",2016,"all fish","diversity",1.407251,0.123395,12
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2014,"all fish","diversity",2.1223,0.1234,3
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2005,"all fish","diversity",2.4836,0.1236,3
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","ref",2007,"all fish","diversity",2.2013,0.1238,3
"ccfrp","ccfrp","north","north","stewarts point smr","smr","smr",2018,"all fish","diversity",1.365524,0.123847,12
"kelp","kelp forest-fish","south","north islands","harris point smr","smr","smr",2018,"all fish","diversity",1.6898,0.1239,2
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","ref",2014,"all fish","diversity",1.230825,0.124145,12
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","ref",2009,"all fish","diversity",1.372982,0.12432,12
"kelp","kelp forest-fish","south","south","naples smca","smca","smca",2010,"all fish","diversity",2.2346,0.1246,3
"kelp","kelp forest-fish","south","south","blue cavern onshore smca","smr","smr",2012,"all fish","diversity",0.9795,0.1248,2
"kelp","kelp forest-fish","south","north islands","anacapa island smca","smca","smca",2006,"all fish","diversity",1.683,0.1248,3
"ccfrp","ccfrp","central","central","ano nuevo smr","smr","smr",2007,"all fish","diversity",1.323942,0.124924,12
"kelp","kelp forest-fish","south","south","point dume smr","smr","smr",2019,"all fish","diversity",1.7807,0.1252,2
"ccfrp","ccfrp","central","central","point buchon smr","smr","ref",2012,"all fish","diversity",1.469234,0.126217,12
"kelp","kelp forest-fish","south","north islands","painted cave smca","smca","smca",2012,"all fish","diversity",2.154,0.1268,3
"kelp","kelp forest-fish","south","north islands","gull island smr","smr","smr",2004,"all fish","diversity",2.0968,0.1271,2
"deep_reef","deep-reef","north","north","point st. george reef offshore smca","smca","smca",2015,"all fish","diversity",1.498883,0.127383,7
