"","year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass","long","lat","distance_to_port","implementation_date","size_km2","port_size","min_depth_m","max_depth_m","depth_range","implementation_year","mpa_age","landings_lb_20002006","landings_lb_sqkm_20002006"
"52",2008,"deep_reef","Central","central","carmel bay smca","smca","ref","targeted",0.004813314,-121.9386415,36.54822899,7768.376445,"09/21/2007",5.7,"small",0,1545.28,1545.28,"2007",1,140862314.28,993023.026044321
"53",2008,"deep_reef","Central","central","piedras blancas smca","smr","ref","nontargeted",0.002493465,-121.3470489,35.6823383,56233.28148,"09/21/2007",22.89,"small",308.4,1105.64,797.24,"2007",1,13582.6,477.662974151495
"54",2008,"deep_reef","Central","central","piedras blancas smca","smr","ref","targeted",0.004018044,-121.3470489,35.6823383,56233.28148,"09/21/2007",22.89,"small",308.4,1105.64,797.24,"2007",1,13582.6,477.662974151495
"55",2008,"deep_reef","Central","central","point buchon smr","smr","smr","nontargeted",0.001914809,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",1,672536.17,3043.04538927482
"56",2008,"deep_reef","Central","central","point buchon smr","smr","smr","targeted",0.019877452,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",1,672536.17,3043.04538927482
"57",2008,"deep_reef","Central","central","point buchon smr","smr","ref","nontargeted",0.00013311,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",1,672536.17,3043.04538927482
"58",2008,"deep_reef","Central","central","point buchon smr","smr","ref","targeted",0.006642991,-120.895881,35.22728089,14347.95701,"09/21/2007",17.31,"small",0,682.41,682.41,"2007",1,672536.17,3043.04538927482
"59",2008,"deep_reef","Central","central","point lobos smr","smr","smr","nontargeted",0.000581882,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",1,140862314.28,993023.026044321
"60",2008,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.013227259,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",1,140862314.28,993023.026044321
"61",2008,"deep_reef","Central","central","point lobos smr","smr","ref","nontargeted",0.000230293,-121.9547434,36.50542126,12622.48341,"09/21/2007",14.25,"small",0,1338.58,1338.58,"2007",1,140862314.28,993023.026044321
