"year","group","region3","region4","affiliated_mpa","mpa_class","mpa_designation","target_status","sum_biomass"
2016,"deep_reef","Central","central","point buchon smr","smr","ref","nontargeted",0.002473312
2016,"deep_reef","Central","central","point buchon smr","smr","ref","targeted",0.088089061
2016,"deep_reef","Central","central","point lobos smr","smr","smr","nontargeted",0.041154766
2016,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.065824383
2016,"deep_reef","Central","central","point lobos smr","smr","ref","nontargeted",0.00047281
2016,"deep_reef","Central","central","point lobos smr","smr","ref","targeted",0.093615248
2016,"deep_reef","Central","central","point sur smca","smr","smca","nontargeted",0.000320787
2016,"deep_reef","Central","central","point sur smca","smr","smca","targeted",0.128810958
2016,"deep_reef","Central","central","point sur smca","smr","ref","nontargeted",0.000838644
2016,"deep_reef","Central","central","point sur smca","smr","ref","targeted",0.024576
2016,"deep_reef","Central","central","point sur smr","smr","smr","nontargeted",0.000945415
2016,"deep_reef","Central","central","point sur smr","smr","smr","targeted",0.023920286
2016,"deep_reef","Central","central","point sur smr","smr","ref","nontargeted",0.000838644
2016,"deep_reef","Central","central","point sur smr","smr","ref","targeted",0.024576
2016,"deep_reef","Central","central","portuguese ledge smca","smr","smca","nontargeted",0.003112832
2016,"deep_reef","Central","central","portuguese ledge smca","smr","smca","targeted",0.206226294
2019,"deep_reef","Central","central","ano nuevo smr","smr","smr","nontargeted",0.001108939
2019,"deep_reef","Central","central","ano nuevo smr","smr","smr","targeted",0.036515842
2019,"deep_reef","Central","central","ano nuevo smr","smr","ref","nontargeted",0.001160051
2019,"deep_reef","Central","central","ano nuevo smr","smr","ref","targeted",0.156626879
2019,"deep_reef","Central","central","point buchon smr","smr","smr","nontargeted",0.006576203
2019,"deep_reef","Central","central","point buchon smr","smr","smr","targeted",0.088732605
2019,"deep_reef","Central","central","point buchon smr","smr","ref","nontargeted",0.001238166
2019,"deep_reef","Central","central","point buchon smr","smr","ref","targeted",0.021514314
2019,"deep_reef","Central","central","point lobos smr","smr","smr","nontargeted",0.004284875
2019,"deep_reef","Central","central","point lobos smr","smr","smr","targeted",0.056446179
2019,"deep_reef","Central","central","point lobos smr","smr","ref","nontargeted",0.003778596
2019,"deep_reef","Central","central","point lobos smr","smr","ref","targeted",0.067906992
2019,"deep_reef","Central","central","point sur smca","smr","smca","nontargeted",0.002202903
2019,"deep_reef","Central","central","point sur smca","smr","smca","targeted",0.078742546
2019,"deep_reef","Central","central","point sur smca","smr","ref","nontargeted",0.007155521
2019,"deep_reef","Central","central","point sur smca","smr","ref","targeted",0.075585021
2019,"deep_reef","Central","central","portuguese ledge smca","smr","smca","nontargeted",0.006044378
2019,"deep_reef","Central","central","portuguese ledge smca","smr","smca","targeted",0.286681446
2019,"deep_reef","Central","central","portuguese ledge smca","smr","ref","nontargeted",0.002145118
2019,"deep_reef","Central","central","portuguese ledge smca","smr","ref","targeted",0.061277791
2019,"deep_reef","North","north","bodega head smca","smca","smca","nontargeted",0.000270235
2019,"deep_reef","North","north","bodega head smca","smca","smca","targeted",0.024868975
2019,"deep_reef","North","north","bodega head smca","smca","ref","nontargeted",0.000243081
2019,"deep_reef","North","north","bodega head smca","smca","ref","targeted",0.012679623
2019,"deep_reef","North","north","bodega head smr","smr","smr","nontargeted",0.000156817
2019,"deep_reef","North","north","bodega head smr","smr","smr","targeted",0.031517437
2019,"deep_reef","North","north","bodega head smr","smr","ref","nontargeted",0.000243081
2019,"deep_reef","North","north","bodega head smr","smr","ref","targeted",0.012679623
2019,"deep_reef","North","north","southeast farallon island smca","smr","smca","nontargeted",0.002392013
2019,"deep_reef","North","north","southeast farallon island smca","smr","smca","targeted",0.037466171
2019,"deep_reef","North","north","southeast farallon island smr","smr","ref","nontargeted",0.001010574
2019,"deep_reef","North","north","southeast farallon island smr","smr","ref","targeted",0.043929195
2019,"deep_reef","South","north islands","anacapa island smr","smr","smr","nontargeted",0.06253664
2019,"deep_reef","South","north islands","anacapa island smr","smr","smr","targeted",0.239079961
2019,"deep_reef","South","south","campus point smca","smr","ref","targeted",0.256558777
2019,"deep_reef","South","north islands","carrington point smr","smr","smr","nontargeted",0.002122405
2019,"deep_reef","South","north islands","carrington point smr","smr","smr","targeted",0.098185665
2019,"deep_reef","South","north islands","carrington point smr","smr","ref","nontargeted",0.000954082
2019,"deep_reef","South","north islands","carrington point smr","smr","ref","targeted",0.323556644
2019,"deep_reef","South","north islands","gull island smr","smr","smr","nontargeted",0.025972011
2019,"deep_reef","South","north islands","gull island smr","smr","smr","targeted",0.277256187
2019,"deep_reef","South","north islands","gull island smr","smr","ref","nontargeted",0.001140953
2019,"deep_reef","South","north islands","gull island smr","smr","ref","targeted",0.230708022
2019,"deep_reef","South","north islands","harris point smr","smr","smr","nontargeted",0.006846975
2019,"deep_reef","South","north islands","harris point smr","smr","smr","targeted",0.22483327
2019,"deep_reef","South","north islands","harris point smr","smr","ref","nontargeted",0.000940407
2019,"deep_reef","South","north islands","harris point smr","smr","ref","targeted",0.047762744
2019,"deep_reef","South","south","point conception smr","smr","smr","nontargeted",0.010951397
2019,"deep_reef","South","south","point conception smr","smr","smr","targeted",0.413312614
2019,"deep_reef","South","south","point conception smr","smr","ref","nontargeted",0.000446577
2019,"deep_reef","South","south","point conception smr","smr","ref","targeted",0.028245444
2019,"deep_reef","South","north islands","south point smr","smr","smr","nontargeted",0.023063191
2019,"deep_reef","South","north islands","south point smr","smr","smr","targeted",0.198674038
2019,"deep_reef","South","north islands","south point smr","smr","ref","nontargeted",0.003106825
